year,country,region,scenario,capacity_gwe,capacity_factor,estimated_generation_twh,nuclear_share_estimate,smr_capacity_gwe,geniv_capacity_gwe,large_reactor_capacity_gwe,source_name
2040,Finland,Europe,Accelerated,4.971,0.86,37.45,41.61,0.0,0.0,4.971,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Finland,Europe,Conservative,4.714,0.86,35.52,39.46,0.0,0.0,4.714,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Finland,Europe,Base,4.843,0.86,36.48,40.54,0.0,0.0,4.843,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Finland,Europe,Accelerated,4.971,0.86,37.45,41.61,0.0,0.0,4.971,Scenario engine using processed reactor pipeline and sample/ingested context
2030,France,Europe,Conservative,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2030,France,Europe,Base,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2030,France,Europe,Accelerated,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2040,France,Europe,Conservative,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2040,France,Europe,Base,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2040,France,Europe,Accelerated,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2050,France,Europe,Conservative,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2050,France,Europe,Base,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2050,France,Europe,Accelerated,62.025,0.86,467.27,96.34,0.0,0.0,62.025,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Germany,Europe,Conservative,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Germany,Europe,Base,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Germany,Europe,Accelerated,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Germany,Europe,Conservative,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Germany,Europe,Base,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Germany,Europe,Accelerated,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Germany,Europe,Conservative,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Germany,Europe,Base,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Germany,Europe,Accelerated,0.0,0.86,0.0,0.0,0.0,0.0,0.0,Scenario engine using processed reactor pipeline and sample/ingested context
